epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05812,1.86938,1.73716,1.20509,0.69115,0.53252,0.59922,0.30056,1.39956,1.09466,1.01004,0.00030009,0.00030009,0.00030009
2,16.8724,1.50643,0.88613,1.04885,0.77601,0.75612,0.82311,0.37947,1.40405,1.49463,0.99759,0.000602303,0.000602303,0.000602303
3,24.2437,1.44703,0.76844,1.03436,0.83844,0.83601,0.86568,0.44864,1.38247,0.98847,1.00368,0.000892068,0.000892068,0.000892068
4,31.8326,1.44242,0.76929,1.04061,0.72157,0.83515,0.80973,0.42938,1.382,0.81274,0.9963,0.00116938,0.00116938,0.00116938
5,39.3036,1.3607,0.70083,1.00026,0.81058,0.78821,0.87611,0.51303,1.22824,0.67592,0.93877,0.00131582,0.00131582,0.00131582
6,46.4908,1.33743,0.68236,0.99465,0.8229,0.82805,0.83018,0.41714,1.48664,0.72968,1.0373,0.00128753,0.00128753,0.00128753
7,54.1435,1.36012,0.651,1.01013,0.9451,0.83937,0.89301,0.48704,1.38069,0.59901,1.00811,0.00125923,0.00125923,0.00125923
8,61.1643,1.34521,0.6464,0.99632,0.88156,0.84363,0.90014,0.4893,1.3915,0.69579,1.02826,0.00123094,0.00123094,0.00123094
9,68.6687,1.33069,0.63194,0.99881,0.85309,0.78329,0.85635,0.43692,1.35784,0.62277,0.99712,0.00120265,0.00120265,0.00120265
10,75.8645,1.26069,0.61569,0.97794,0.93347,0.85091,0.91117,0.52789,1.37575,0.60813,1.00417,0.00117435,0.00117435,0.00117435
11,83.6408,1.23015,0.60215,0.97117,0.94709,0.7707,0.86974,0.4966,1.48033,0.59955,1.00966,0.00114606,0.00114606,0.00114606
12,90.9917,1.209,0.58662,0.97011,0.9252,0.85433,0.9119,0.55034,1.30471,0.55158,0.97158,0.00111776,0.00111776,0.00111776
13,98.3206,1.25875,0.58781,0.97585,0.93592,0.83418,0.90261,0.48287,1.42689,0.55438,1.00295,0.00108947,0.00108947,0.00108947
14,106.194,1.32638,0.61135,0.98268,0.92601,0.8312,0.90349,0.49123,1.28257,0.56497,0.97358,0.00106118,0.00106118,0.00106118
15,113.256,1.21045,0.56838,0.95911,0.8699,0.88152,0.90007,0.56862,1.18505,0.52691,0.93851,0.00103288,0.00103288,0.00103288
16,121.163,1.18227,0.55222,0.95363,0.87153,0.82313,0.89235,0.48729,1.47481,0.57439,1.0065,0.00100459,0.00100459,0.00100459
17,128.041,1.21769,0.55143,0.96413,0.88016,0.86441,0.91608,0.54502,1.3625,0.53281,0.96926,0.000976293,0.000976293,0.000976293
18,135.916,1.20458,0.54478,0.96511,0.89588,0.89225,0.89476,0.54598,1.29976,0.53996,0.95486,0.000947999,0.000947999,0.000947999
19,142.843,1.17514,0.53948,0.94206,0.91565,0.86655,0.91617,0.57351,1.18986,0.48286,0.94145,0.000919704,0.000919704,0.000919704
20,150.499,1.13736,0.52664,0.93476,0.93662,0.84611,0.90599,0.55739,1.26318,0.48748,0.94883,0.00089141,0.00089141,0.00089141
21,158.108,1.12195,0.5145,0.93727,0.88558,0.88531,0.90637,0.5421,1.19294,0.48525,0.92635,0.000863116,0.000863116,0.000863116
22,165.226,1.13329,0.51646,0.93429,0.92522,0.83122,0.89629,0.52531,1.24633,0.47931,0.95044,0.000834822,0.000834822,0.000834822
23,172.961,1.12296,0.51186,0.93851,0.89196,0.87062,0.91467,0.54125,1.20948,0.4906,0.94603,0.000806528,0.000806528,0.000806528
24,179.917,1.08866,0.49955,0.93072,0.90205,0.88955,0.92257,0.54375,1.30632,0.48724,0.97629,0.000778233,0.000778233,0.000778233
25,187.636,1.08584,0.49929,0.91884,0.92867,0.85964,0.90834,0.52034,1.20796,0.48782,0.93782,0.000749939,0.000749939,0.000749939
26,194.523,1.08296,0.49133,0.92412,0.96331,0.8816,0.93133,0.56653,1.28321,0.47417,0.98052,0.000721645,0.000721645,0.000721645
27,202.07,1.11765,0.49826,0.938,0.93439,0.86783,0.9186,0.57388,1.16736,0.49149,0.93618,0.000693351,0.000693351,0.000693351
28,209.173,1.0624,0.4834,0.92607,0.89471,0.8518,0.91446,0.55107,1.20313,0.47285,0.94571,0.000665057,0.000665057,0.000665057
29,216.61,1.07272,0.48483,0.91462,0.93282,0.84496,0.91891,0.55825,1.22914,0.46089,0.94785,0.000636762,0.000636762,0.000636762
30,224.341,1.04635,0.47102,0.91579,0.92149,0.88064,0.91592,0.55209,1.22218,0.46262,0.94948,0.000608468,0.000608468,0.000608468
31,231.488,1.05992,0.47451,0.91342,0.93826,0.86191,0.92677,0.53851,1.2301,0.47977,0.94833,0.000580174,0.000580174,0.000580174
32,239.346,1.02138,0.46217,0.91466,0.94986,0.8567,0.92413,0.55803,1.28447,0.48691,0.95402,0.00055188,0.00055188,0.00055188
33,246.259,1.05551,0.46817,0.91225,0.9039,0.86882,0.92947,0.56171,1.19392,0.45485,0.93003,0.000523586,0.000523586,0.000523586
34,253.976,1.03322,0.46534,0.90391,0.93038,0.87136,0.92867,0.56048,1.26656,0.45294,0.96284,0.000495291,0.000495291,0.000495291
35,260.841,1.00107,0.44996,0.89761,0.87023,0.86057,0.91841,0.55319,1.2278,0.44624,0.93969,0.000466997,0.000466997,0.000466997
36,268.591,0.99874,0.46067,0.90636,0.90418,0.8615,0.91989,0.56472,1.25089,0.47119,0.94574,0.000438703,0.000438703,0.000438703
37,275.58,0.99981,0.45801,0.90226,0.92898,0.89721,0.92798,0.56696,1.2449,0.45946,0.95058,0.000410409,0.000410409,0.000410409
38,283.069,1.00957,0.45642,0.90357,0.90405,0.9053,0.92634,0.58724,1.25276,0.4775,0.95097,0.000382115,0.000382115,0.000382115
39,290.791,0.98424,0.44956,0.90857,0.87618,0.88438,0.92306,0.55045,1.21721,0.45542,0.95471,0.00035382,0.00035382,0.00035382
40,297.915,0.98073,0.45196,0.8979,0.91985,0.8734,0.91137,0.54518,1.2522,0.46434,0.95706,0.000325526,0.000325526,0.000325526
41,307.485,0.96773,0.43776,0.9053,0.9005,0.823,0.87911,0.54119,1.25751,0.46816,0.95562,0.000297232,0.000297232,0.000297232
42,314.404,0.96172,0.4332,0.9055,0.88183,0.90912,0.9058,0.53863,1.27315,0.47481,0.95963,0.000268938,0.000268938,0.000268938
43,321.98,0.93793,0.41937,0.90241,0.89227,0.86856,0.92103,0.56527,1.20005,0.4358,0.94346,0.000240644,0.000240644,0.000240644
44,329.405,0.94193,0.42242,0.90462,0.89602,0.87248,0.90307,0.55024,1.22293,0.43514,0.94574,0.000212349,0.000212349,0.000212349
45,336.261,0.92401,0.4145,0.89539,0.93655,0.87248,0.92467,0.5487,1.24511,0.46125,0.95027,0.000184055,0.000184055,0.000184055
46,343.847,0.9012,0.40374,0.89233,0.96862,0.81935,0.90359,0.54312,1.22182,0.44794,0.9406,0.000155761,0.000155761,0.000155761
47,350.467,0.88071,0.3978,0.89136,0.91692,0.84834,0.91556,0.56747,1.2201,0.4343,0.93347,0.000127467,0.000127467,0.000127467
48,358.028,0.87284,0.40113,0.88305,0.96986,0.80769,0.88563,0.55348,1.24528,0.45586,0.94697,9.91726e-05,9.91726e-05,9.91726e-05
49,364.554,0.86984,0.39495,0.8837,0.88808,0.8734,0.91676,0.56329,1.23006,0.44093,0.94089,7.08784e-05,7.08784e-05,7.08784e-05
50,372.093,0.86637,0.39178,0.89049,0.92907,0.85899,0.90447,0.56519,1.21334,0.44442,0.94126,4.25842e-05,4.25842e-05,4.25842e-05
