epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.56838,2.0261,2.79943,1.22422,0.91903,0.2572,0.30078,0.12221,2.17347,1.67496,1.31062,0.00010003,0.00010003,0.00010003
2,9.40864,1.52639,1.19248,1.06601,0.67326,0.3981,0.41804,0.2272,1.57732,1.2102,1.0667,0.000210106,0.000210106,0.000210106
3,12.1788,1.51447,0.94732,1.02033,0.84698,0.40722,0.48643,0.20167,1.82386,1.69948,1.11917,0.000315655,0.000315655,0.000315655
4,14.8835,1.42894,0.89436,0.99644,0.33489,0.7075,0.48335,0.20768,1.90043,4.53083,1.18862,0.000416676,0.000416676,0.000416676
5,17.5986,1.34749,0.79787,0.99834,0.41635,0.64266,0.37477,0.1591,1.63166,4.90079,1.11034,0.000513171,0.000513171,0.000513171
6,20.9052,1.31438,0.78088,0.97872,0.56457,0.52951,0.49535,0.20291,1.75168,2.32272,1.13023,0.000605139,0.000605139,0.000605139
7,23.885,1.30089,0.71046,0.99057,0.84492,0.72165,0.82659,0.4285,1.40212,1.36586,1.01757,0.000692579,0.000692579,0.000692579
8,26.6561,1.44738,0.71368,1.00665,0.81008,0.77207,0.84781,0.41136,1.71295,1.34135,1.11914,0.000775493,0.000775493,0.000775493
9,29.3727,1.40854,0.73815,0.99187,0.81325,0.81895,0.86836,0.49845,1.24244,0.9056,0.95691,0.000853879,0.000853879,0.000853879
10,32.2308,1.3668,0.71491,0.98019,0.85714,0.81754,0.86687,0.45117,1.49776,0.76566,1.03234,0.000927738,0.000927738,0.000927738
11,35.7925,1.32399,0.70093,0.98187,0.92373,0.8227,0.88087,0.48246,1.29021,0.79169,0.98022,0.00099707,0.00099707,0.00099707
12,38.4483,1.27678,0.66591,0.97851,0.89847,0.84364,0.90541,0.51963,1.2008,0.7003,0.95179,0.00106188,0.00106188,0.00106188
13,41.1189,1.20992,0.67262,0.9604,0.78936,0.88438,0.89547,0.50355,1.25466,0.64544,0.95309,0.00108947,0.00108947,0.00108947
14,43.7493,1.32965,0.7006,1.00066,0.86206,0.86702,0.91441,0.51289,1.28476,0.62272,0.93896,0.00106118,0.00106118,0.00106118
15,47.2435,1.2549,0.64963,0.95729,0.92629,0.85522,0.90604,0.51601,1.23082,0.6715,0.94468,0.00103288,0.00103288,0.00103288
